problem,golden_answer,language
“fork”在给定的C程序中扮演什么角色？,“fork”用于通过复制调用进程来创建新进程，从而产生子进程。,Chinese
在ElementUI中，当“info.name”用作el表列中的“prop”值时，它代表什么？,它表示嵌套在每行数据的“info”对象中的“name”属性。,Chinese
在示例C程序中，子进程中的“close（pipefd[0]）”表示什么？,'close（pipefd[0]）'关闭子进程中管道的读取端，以确保它们只写入管道。,Chinese
在MATLAB中，哪个函数通常用于在命令窗口中显示格式化文本，类似于C的printf？,fprintf函数。,Chinese
What does the Single Responsibility Principle (SRP) state about class or module design?,Each module or class should have only one responsibility.,English
"In the Dependency Inversion Principle (DIP), what should modules depend on?",abstractions,English
使用什么MATLAB函数来计算两个数组对应元素之间的差异，通常在数据集中称为“误差”？,减号运算符（-），通常像“array1-ary2”一样使用。,Chinese
在提供的C程序中，“管道”系统调用的目的是什么？,“管道”系统调用创建了一个可用于进程间通信的单向数据通道。,Chinese
"In C++, how can you represent a complex number?",Using std::complex from the <complex> header.,English
Какой диапазон чисел генерируется методом Math.random () в Java?,0.0 (включительно) до 1.0 (без учета).,Russian
В Java какой класс пакета Java.util используется для создания отдельных экземпляров ввода из стандартного потока ввода?,Сканер.,Russian
"In C#, which feature allows defining a method with no implementation to be overridden in a derived class?",Abstract method.,English
libwebsockets库中lws_create_context函数的主要功能是什么？,它创建了一个新的libwebsockets上下文，这是管理WebSocket连接的中心数据结构。,Chinese
What library in Java provides the Color class used for manipulating pixel color values in images?,The java.awt library provides the Color class for manipulating pixel color values.,English
"According to the Liskov Substitution Principle (LSP), how should objects of a superclass and its subclasses relate when substituted?",Any object of a superclass should be substitutable with its subclass object without affecting the functionality.,English
"In C#, what principle of the SOLID acronym facilitates that one class should only have a single responsibility?",Single Responsibility Principle (SRP).,English
"In the context of image processing in Java, what operation is being performed by '((brightness - minValue) / range) * 255.0f' in the given code?","This operation normalizes the pixel brightness to a standard range of 0 to 255, effectively performing histogram normalization.",English
What design pattern in software engineering provides a way to encapsulate a group of individual factories that have a common theme?,Abstract Factory Pattern.,English
"Как использовать Math.random () для генерации случайных целых чисел в диапазоне [0,10] в Java?",(int) (Math.random () * 11).,Russian
在PHP中，当使用mysqli处理MySQL数据库时，使用哪个函数来转义字符串中的特殊字符，以便在SQL查询中使用？,mysqli：：realescape_string。,Chinese
"In Java, what is the purpose of the BufferedImage class in creating image histograms?","BufferedImage is used to manage an image in memory, allowing manipulation of pixel data and the creation of transformed images.",English
libuv库中uv_run函数的用途是什么？,uvrun用于执行与libuv库关联的事件循环。,Chinese
哪个Docker Swarm API端点提供特定服务的任务列表？,GET/services/{id}/tasks,Chinese
在C#中，哪个命名空间通常用于从目录中读取文件路径？,系统。IO。,Chinese
在HTML中显示图像时，通常使用哪个元素？,<img>元素。,Chinese
在MySQL中，表列定义中的AUTO_INCREMENT属性的目的是什么？,为每一行自动生成一个唯一值，并为每个新条目递增一个值。,Chinese
在GLSL中，两个vec2变量的乘法结果是什么类型的？,它产生一个vec2变量，其中每个分量都是两个vec2变数的相应分量的乘积。,Chinese
Какую функцию в PHP можно использовать для чтения содержимого файла в строку?,Файл get contents.,Russian
В OpenCV с модулем DNN какая функция используется для загрузки предварительно обученной модели Caffe?,Cv2.dn.readNetFromCaffe (Cv2.dn.netFromCaffe).,Russian
在HTML5中，使用什么属性来指定要在<img>标签中显示的图像的URL？,“src”属性。,Chinese
"In Python, what library provides the KNeighborsClassifier used for machine learning classification tasks?",scikit-learn.,English
"In Java Servlets, which method is automatically called to handle HTTP POST requests?",doPost().,English
"Какой метод используется в Python для удаления минимального значения из списка чисел, как показано в примере кода?",Метод remove используется для удаления минимальных значений из списка чисел.,Russian
在GLSL上下文中，“uniform”关键字的目的是什么？,“uniform”关键字用于声明在渲染调用期间保持不变的全局变量。,Chinese
在Python中，哪个模块提供了可以终止程序的exit（）函数？,sys模块。,Chinese
"In C#, how do you declare a nullable value type?","By appending a question mark '?' to the type, such as `int?` for a nullable integer.",English
"What Java package provides the HttpServlet class, which is used to create servlets?",javax.servlet.http.,English
AntV G6中的哪个属性用于设置多段线中带箭头的边的端点？,边的样式属性，endArrow设置为true。,Chinese
"In Perl, what function can be used to apply a transformation to every element in an array?",The map function.,English
在Python的Tkinter库中，使用什么方法将函数绑定到窗口关闭事件？,协议方法。,Chinese
"Какой метод следует использовать, чтобы попросить браузер вызвать функцию для обновления анимации до следующей перезаписи с помощью JavaScript?",Запросить Animation Frame ().,Russian
正则表达式“\\W+”在Python字符串中匹配什么？,它匹配一个或多个非单词字符，其中包括不在[a-zA-Z0-9_]集合中的字符。,Chinese
在AntV G6中，使用哪种布局类型来创建具有从左到右的有向边的层次图？,rankdir设置为“LR”的“dagre”布局类型。,Chinese
在Linux终端中，您会使用哪个命令来列出支持的SSH密钥交换算法？,ssh-Q-kex,Chinese
Which Python module is commonly used for generating random numbers and performing randomization tasks?,random.,English
"In Git, what is the command to delete a local branch?",git branch -d <branchname>.,English
在二维码生成的背景下，通常使用哪种数据结构来存储黑白模块？,二维数组（矩阵）。,Chinese
在Verilog中，带有“posedge clk”和“neggedge reset”的“always”块的典型用法是什么？,它通常用于时序逻辑，以使操作与时钟沿同步，并在复位信号时重置寄存器。,Chinese
Python中可以使用什么语句来确保代码仅在文件直接运行时执行，而不是在作为模块导入时执行？,如果__name__=='__main__'：,Chinese
"In the context of genetic algorithms, what is typically the objective of a fitness function?",To evaluate how close a given solution is to the optimal solution or to guide the evolution of the algorithm towards better solutions.,English
UIKit中的哪个类用于管理iOS应用程序中的文本输入区域？,UITextField或UITextView。,Chinese
"In Lua, what library function is used to calculate the square root of a number?",math.sqrt(),English
在bash脚本中，哪个符号用于重定向输出以附加到文件，而不覆盖现有内容？,>>,Chinese
PyQt5中的哪个类通常用于设置小部件背景或其他组件的颜色属性？,Qpalette。,Chinese
Что делает метод np.random.choice в Python при использовании с параметрами replace = False?,"Он случайно выбирает элементы из массива без замены, что означает, что каждый выбранный элемент является единственным в выборе.",Russian
"In a Lua table with nil values and using pairs() for iteration, what happens when you modify a local copy of a value inside the loop?",Modifying a local copy of the value does not affect the original table; changes must be made directly to the table using the key.,English
"In a TypeScript project using Redux-Saga, how can you select a piece of state from the store?",By using the 'select' function from 'redux-saga/effects'.,English
哪个PyQt5类用于与文件系统交互，并用文件系统数据填充QTreeView？,QFileSystemModel。,Chinese
"In FiveM Lua scripts, which function is used to signal the server to execute an associated event?",TriggerServerEvent.,English
"In Unity, what scripting language is primarily used for developing editor tools?",C#.,English
在Nginx配置中，哪个指令用于向响应中添加自定义标头？,add_header。,Chinese
"In Lua, what will the expression 'x >= minX and x <= maxX and y >= minY and y <= maxY' return if 'x', 'y', 'minX', 'maxX', 'minY', and 'maxY' are valid numeric values for a rectangular boundary check?",A boolean value indicating if the point is within the given rectangle.,English
什么HTTP响应状态代码表示成功处理不需要返回内容的请求？,204无内容。,Chinese
在Vue.js组件中，computed选项的功能是什么？,计算属性用于定义依赖于其他反应性数据并根据其依赖关系缓存的反应性数据。,Chinese
Which Unity namespace is necessary for developing custom editor functionality?,UnityEditor.,English
What is the purpose of the RegisterServerEvent function in FiveM Lua scripting?,To define a custom event that can be triggered on the server side.,English
What language model architecture forms the basis for GPT-3?,Transformer architecture.,English
Which Python library function is used to convert special characters in a string to HTML-safe sequences?,html.escape().,English
"In the tkinter library, which method is used to set the window to always be on top of other windows?","attributes('-topmost', True).",English
在Java中，用于预分配具有n个初始值副本的列表的方法是什么？,collections.ncopies（n，值）。,Chinese
What Python module provides functionality for clipboard operations?,Pyperclip.,English
"In the Discord.py library, what method is used to start the bot with a specified token to connect to Discord's server?",bot.run(token).,English
"In the context of a rectangular zone detection in Lua, how would the zone be recalculated if it needs to be a rotated rectangle?",You would need to apply a coordinate transformation using techniques such as rotation matrices to calculate new boundaries for the courtCorners.,English
在使用Pybind11的上下文中，“Pybind11_MODULE”宏的目的是什么？,'PYBIND11_MODULE'宏用于定义一个可以导入Python的模块，指定模块名称和初始化它的函数。,Chinese
"In Lua, what is the standard library function to check if a table contains a specific value?",There is no standard library function; a custom function must be written.,English
"In SQL databases, what is the term used for a column that establishes a relationship between two tables?",Foreign key,English
"In SQL, what does the IN keyword do when used in a WHERE clause?",The IN keyword is used to filter records that match any value in a list of specified values.,English
"In SQL, what is the significance of the AND logical operator within a WHERE clause?",The AND operator is used to combine multiple conditions in a WHERE clause such that all conditions must be true for the row to be selected.,English
What PHP framework provides a command line tool to serve applications on a local development server without requiring Apache or Nginx configuration?,Laravel (using `php artisan serve`),English
Which Python library provides the interface for creating Discord bots?,discord.py.,English
"В Java, если вы хотите начать извлечение строки из третьего символа в заданной строке, какой метод вы должны использовать?",Подстрочка (int start index).,Russian
"In Python, which module or function is used to obtain input from the user via the console?",input() function,English
В Java какой метод удаления пустых символов с обоих концов строки?,Трим (),Russian
What is the purpose of the `on_ready` event in Discord.py?,To handle actions that should occur when the bot has successfully connected to Discord and is ready for operation.,English
在OpenJSCAD中，如何设置一个立方体的尺寸？,"通过调用cube函数并传入一个包含size属性的对象，例如cube({size: [宽度, 高度, 深度]})。",Chinese
"In an SQL database, what purpose do foreign keys serve in table relationships?","They establish a link between two tables, enforcing referential integrity by ensuring that a record in one table corresponds to one or more records in another table.",English
What command is used to install the firebase_admin module in Python?,pip install firebase_admin.,English
在OpenJSCAD中创建对象时，如何平移一个物体？,"使用translate方法并传入平移向量，例如cube().translate([x, y, z])。",Chinese
What is the purpose of the NOT IN comparison operator in SQL?,The NOT IN operator is used to exclude records where a specific column's value is within the specified list of values.,English
在局域网中用作LLDP数据包目标地址的默认MAC地址是什么？,01:80:c2:00:00:0e。,Chinese
"In Python, what function is used to round a floating-point number to a given number of decimal places?",round(),English
"In Laravel, which command is used to create a new model along with a migration, controller, and resource?",php artisan make:model ModelName -mcr,English
在Python中，哪个库通常用于以编程方式构造和发送网络数据包？,斯卡皮。,Chinese
What OpenGL function is used to begin specifying a primitive or a group of like primitives?,glBegin().,English
"In a WebSocket connection in JavaScript, what event listener would you use to handle messages received from the server?",message,English
在SQL Server 2017安装中，您可以在哪个页面上查看和接受许可协议？,“许可条款”页面。,Chinese
"What package in Node.js is commonly used to implement WebSocket server functionality, as demonstrated in the conversation?",ws,English
安装SQL Server 2017时，您在哪个页面上选择数据库引擎服务和分析服务等功能？,“功能选择”页面。,Chinese
在Python 3.9中，如何从1到33的范围内随机选择6个数字而不重复，从1到16的范围内选择一个数字？,"六个数字使用random.sample（范围（1,34），6），一个数字使用随机选择（范围（1,1,7））。",Chinese
在JavaScript中，您会从Math对象中使用哪种方法来生成特定范围内的随机数？,使用Math.random（）生成一个介于0（包括0）和1（不包括1）之间的数字，然后将其缩放到该范围。例如，Math.floor（Math.random（）*（max-min+1）+min）获取一个介于min和max之间的数字（包括max和max）。,Chinese
"In the Python 'curses' module, what method is used to get the size of the terminal window?",getmaxyx().,English
C中使用什么库函数为双向链表中的新节点动态分配内存？,malloc（）用于为双链表中的新节点动态分配内存。,Chinese
"Within the Python 'curses' module, which function is used to initialize a new window with specific dimensions and starting coordinates?",newwin().,English
"In Python, which data structure is appropriate to represent a fixed-size grid where each cell can be accessed by a pair of indices?",A list of lists.,English
"In SQL, can the GROUP BY clause include a single column when aggregating data?","Yes, GROUP BY can include a single column.",English
"В Python, если переменной « fileNames» присваивается ряд путей файла, таких как [path / to / file1 ',' path / to / file2 '], то какой тип?",Список.,Russian
"In OpenGL, what function is used to create a new OpenGL window when using GLUT?",glutCreateWindow().,English
Lua使用什么内置机制来管理内存并防止因未使用的对象而导致的泄漏？,垃圾收集。,Chinese
"In a 1200x900 canvas, where is the initial position if the cursor is set to the center?","x=600, y=450.",English
"In the HTML5 Canvas API, which method is used to clear a rectangle of pixels within a given area?",ClearRect().,English
"In the HTML5 Canvas API, what method is used to draw a rectangle filled with a solid color on the canvas?",fillRect().,English
"In a JavaScript event listener, what method is commonly used to capture keyboard events such as keydown or keyup?",addEventListener().,English
使用SQL查询，如何选择总金额大于10000或客户姓名为“John Doe”的订单？,从总计金额>10000的订单或客户名称=“John Doe”的订单中选择*；,Chinese
哪个Python函数检索当前工作目录的绝对路径？,os.getcwd（）。,Chinese
"When using requestAnimationFrame in JavaScript, what is the purpose of this function?","To repeatedly execute a specified function before the next repaint, optimizing animations for improved performance.",English
"In Vue.js, what directive is used to conditionally render elements?",v-if.,English
"In Vue.js, how can you render dynamic components using the component's name?","Using the <component :is=""Component""> tag with dynamic attribute binding.",English
"In Python, what is the correct import statement for the 'requests' module?",import requests,English
"In MATLAB, which function can be used to update a graphical display dynamically during a loop?",Draw now.,English
What function in OpenCV is used to draw rectangles around detected faces in an image?,cv2.rectangle().,English
What is the command to install the 'requests' module using pip in Python?,pip install requests,English
在SQL中，CASE WHEN语句中的'ELSE'关键字的功能是什么？,如果所有WHEN条件都不满足，它将提供默认结果。,Chinese
在。NET 6，建议使用哪个模板来创建Windows服务？,WorkerService模板。,Chinese
在ECharts中，您会修改什么属性来将图例的方向从水平调整为垂直？,将图例对象中的“orient”属性更改为“vertical”。,Chinese
在C++WIN32_FIND_DATA结构中，哪些字段用于存储文件的大小？,nFileSizeHigh和nFileSizeLow。,Chinese
在PIL库中，使用什么函数来创建具有特定模式和大小的新图像？,Image.new（）,Chinese
在Python中，可以使用什么方法将字符串中的所有字符转换为大写？,str.upper（）。,Chinese
PIL ImageDraw模块中的哪种方法用于向图像添加文本？,draw.text（）,Chinese
在Java中，如何将字符串转换为大写？,您可以在String对象上使用toUpperCase（）方法。,Chinese
"What library in Python provides functionality for matrix inversion, which is used to compute an inverse of a homography matrix?",NumPy.,English
在C#中，哪个类用于发送HTTP请求并从URI标识的资源接收HTTP响应？,HttpClient。,Chinese
Jupyter Notebook的一个关键特性是什么，它允许内联执行和可视化代码结果？,在单元格中执行代码并显示输出（包括内联可视化）的能力。,Chinese
Какой метод обычно используется для инициализации компонентов UI в окнах Windows с помощью Visual Studio?,Инициализация компонентов.,Russian
在提供的使用pandas的Python代码中，使用哪种方法将CSV文件中的数据读取到DataFrame中？,pd.read_csv（）。,Chinese
在MATLAB中，如何生成一个特定范围内的随机浮点数数组?,"使用rand函数，例如rand(100,1)*10生成范围为0到10的100个随机浮点数。",Chinese
在MATLAB中如何表示接收功率为-30dBm的对应总功率值?,使用10 ^ (-30/10)来表示总功率。,Chinese
Какова временная сложность поиска наименьшего элемента в массиве 2D в предлагаемой программе C + +?,"О (n * m), где n - число строк, m - число столбцов.",Russian
"In object-oriented programming, what is the benefit of organizing classes into namespaces?","Organizing classes into namespaces improves code maintainability and readability by grouping related classes together, thereby reducing the likelihood of naming conflicts and simplifying the management of the codebase.",English
在JavaScript中，创建Blob时如何定义对象的MIME类型？,通过传递一个具有类型属性的对象作为Blob构造函数中的第二个参数。,Chinese
"In C#, what is the purpose of using namespaces?",Namespaces are used to organize code elements and to provide a way to prevent name conflicts in the global scope.,English
Какова временная сложность доступа к элементам в списке через индекс в Python?,О (1).,Russian
seeded_random函数如何确保在生成Perlin噪声时具有可重复的随机性？,seeded_random函数使用固定种子来初始化随机数生成器，通过每次生成相同的随机置换来实现可重复性。,Chinese
"In Python 3, what built-in data type is used to represent an unordered collection of unique elements?",set.,English
在Linux中，使用什么命令打开crontab编辑器来设置cron作业？,crontab-e。,Chinese
在SAS PROC SURVEYSELECT中，'method=srs'参数指定了什么？,它规定了简单的随机抽样方法。,Chinese
在网络编程的背景下，TCP和UDP协议的主要区别是什么？,TCP是面向连接的，提供有保证的传输，而UDP是无连接的，不保证传输。,Chinese
"In Python 3, how can you count occurrences of elements within a collection efficiently?",Using the collections.Counter class.,English
在crontab调度中，表达式“*/5****”是什么意思？,这意味着该命令将每5分钟运行一次。,Chinese
Какая функция шаблона строки в JavaScript позволяет встраивать выражения в текст строки?,Текст шаблона использует backticks (') и ${} в качестве выражения.,Russian
Какова основная цель использования метода « hashCode» в Java?,"Возвращает целое число хэш - кода объекта, которое используется в хэш - таблице.",Russian
"Какова роль выражения ""extract"" (epoch from < timestamp >) * 1000 в запросе PostgreSQL?",Он преобразует временную метку в миллисекунды со времен Unix 1 января 1970 года.,Russian
"Какой метод используется в JavaScript для извлечения месяца из объекта Date и как настроить его, чтобы он соответствовал месяцам, читаемым человеком?","Используемый метод - getMonth (), который обычно корректирует его, добавляя 1 в результат, потому что getMonth () возвращает индекс, начинающийся с нуля (0 означает месяц, 1 означает февраль и т. Д.).",Russian
crontab文件在Linux系统中的作用是什么？,crontab文件用于指定计划任务或cron作业。,Chinese
"In JavaScript, when using the HTMLCanvasElement's getContext method with the argument '2d', what does this operation return?",The CanvasRenderingContext2D object.,English
Какие действия выполняются в PostgreSQL с помощью ключевого слова « JOIN»?,Операции JOIN используются для объединения записей в них на основе соответствующих столбцов между двумя или более таблицами.,Russian
Which OpenCV function can be used to convert a color image to a grayscale image?,cv2.cvtColor with the cv2.COLOR_BGR2GRAY flag.,English
在Python中，通常使用什么函数将字符串拆分为一个列表，其中每个单词都是一个列表项，使用空格作为分隔符？,split（）。,Chinese
在Python中，哪种文件模式用于在不截断文件的情况下打开文件进行读写，并将文件指针放在开头？,r+（或rb+表示二进制模式）。,Chinese
用于定义可通过在程序的多个部分调用名称重用的代码块的关键Python语法元素是什么？,函数，使用“def”关键字定义。,Chinese
Какое количество выводов PWM поддерживает Arduino Nano с микроконтроллером ATmega328P?,6 цифровых выводов PWM.,Russian
"In Python's PIL library, what method is used to change the size of an image?",The resize() method.,English
"What library in Python is used for image processing, known for size manipulation, and is a fork of PIL?",Pillow.,English
"In OpenCV, what function is used to apply a perspective transformation to an image?",cv2.warpPerspective.,English
哪个MATLAB命令可用于导航文件系统并通过GUI选择Excel文件？,uigetfile。,Chinese
在HTML中，哪个标签用于引用外部CSS文件？,<link>标签的rel属性设置为“stylesheet”。,Chinese
"In VBA, what data type should be used to store a number that could have decimal places, such as an RSI value?",Double.,English
哪个动态链接库（DLL）是Windows API中的NtOpenProcess函数？,ntdll.dll.,Chinese
"In Excel, what argument value specifies an exact match in the MATCH function?",0,English
哪个C++标准库类可用于堆操作，但不支持直接删除任意元素？,优先级队列,Chinese
"In the Python code snippet provided, what is the function of the Image.ANTIALIAS parameter in the resize method?",It is used for high-quality downsampling of the image.,English
"In QGIS, what layer type represents waypoints from a GPX file after being imported?",Points layer.,English
在C++中使用std:：find函数在向量中查找元素的时间复杂度是多少？,O（n）,Chinese
What is the typical start address for a CHIP-8 program counter (PC)?,0x200.,English
"In a CHIP-8 interpreter, what does the instruction '00E0' do?",Clears the display.,English
What subnet mask would you use in a route command to specify a single IP address in Windows 10?,255.255.255.255.,English
"In Windows 10, what command is used to add or modify IP routes?",The 'route' command.,English
What privilege level is often required to modify IP routes using the route command in Windows 10?,Administrative privileges.,English
"In Python, how do you open a file in write mode?","Using the 'open' function with mode 'w' (e.g., open('filename', 'w')).",English
"In Java, what does the expression (pixel >> 16) & 0xff extract from a pixel value?",It extracts the red component of the pixel.,English
在C++中，当从最大堆中删除元素时，maxHeapify函数的作用是什么？,maxHeapify函数用于在删除或替换元素后通过调整堆结构来维护最大堆属性。,Chinese
在WordPress设置中，WP Rocket扮演什么角色？,WP Rocket是一个缓存插件，可以优化网站并加快页面加载速度。,Chinese
"In Python, which string method can be used to split a string into a list based on a delimiter?",The split() method.,English
"In Excel, which function allows evaluating multiple conditions that all must be true?",AND function.,English
"In a BufferedImage object in Java, what method would you use to retrieve the RGB value of a specific pixel located at coordinates (x, y)?","The getRGB(int x, int y) method is used to retrieve the RGB value of a pixel at the specified coordinates in a BufferedImage.",English
"In Java, if you want to transform RGB values into a grayscale brightness value using the Rec. 709 luma coefficients, what formula would you use?",The formula is: brightness = (0.2126 * red) + (0.7152 * green) + (0.0722 * blue).,English
"In initializing a 3D array in C++, how many total integer elements are there in an array declared as `int arr[4][2][3]`?",twenty-four,English
"In C++, how do you declare a 3D array that consists of 4 2D arrays, where each 2D array is composed of 2 rows and 3 columns?",Enter arr [4] [2] [3];,English
"In Excel formulas, what logical function can be used to carry out binary decisions based on a condition?",IF function.,English
"In LC-3 assembly language, what is the initial setup required to perform push and pop operations on the stack?","In LC-3 assembly language, the stack is initially set up by setting the stack pointer (R6) to an appropriate memory location using the .FILL directive.",English
"In Lua, what function is used to iterate over all key-value pairs in a table?",pairs(),English
"In Lua, what is the data type of a structure that allows the storage of key-value pairs?",Table,English
Какой метод вы используете в JavaScript для добавления новых элементов в конце массива?,Push () Метод.,Russian
What Java method can be used to retrieve the width of a BufferedImage object?,getWidth().,English
Какая функция в pandas используется для чтения файлов Excel в DataFrame?,pd.read excel ().,Russian
"In Java, what is the consequence of a local variable being used in an anonymous inner class without being declared as final or effectively final?",The code will result in a compilation error because Java requires local variables to be effectively final if they are accessed within an anonymous inner class.,English
What is the default starting index for arrays in Lua tables?,one,English
Какой метод используется в pandas для записи DataFrame в файл Excel?,To excel ().,Russian
Какая библиотека Python предоставляет структуру DataFrame для операций с данными?,Панда.,Russian
在HLSL中，当“inout”用作参数限定符时，意味着什么？,这意味着可以在函数中读取和写入参数。,Chinese
"Какова временная сложность доступа к элементам через индекс в векторе, реализованном в C + + с помощью std: vector?",О (1).,Russian
在MATLAB中，使用conv函数与大小为N和M的输入向量进行卷积时，输出的大小是多少？,输出的大小将为N+M-1。,Chinese
