problem,golden_answer,language
在iTextSharp.NetCore中，读取PDF文件后为什么需要调用PdfReader的Close方法？,释放文件资源，防止内存泄漏。,Chinese
在iTextSharp.NetCore中，使用哪个类可以从PDF文件的特定页面提取文本？,PDFTExtractor,Chinese
在使用XMLHttpRequest发送POST请求时，如何设置请求头以发送JSON数据？,使用xhr.setRequestHeader(),Chinese
在 Python 中，如何访问 Pillow 创建的图像的像素数据？,使用 `img.load()` 获取像素访问对象。,Chinese
Какая команда используется для генерации нового SSH-ключа в Linux и macOS?,ssh-keygen,Russian
在 Python 中，如何使用 Pillow 库创建一个 500x500 的 RGB 图像并将其填充为白色？,"使用`Image.new(""RGB"", (500, 500), (255, 255, 255))`",Chinese
在 .NET Core 中，如何通过字节数组加载 Word 文件到 Aspose.Words.Document？,可以使用 `new Document(new MemoryStream(data))`,Chinese
Какой метод используется в JavaScript для округления числа до одного знака после запятой в формате строки?,toFixed(1),Russian
在Dijkstra算法中，为什么需要使用一个visited数组？,用于标记已经确定最短路径的节点，避免重复计算和错误更新。,Chinese
哪个Eclipse工具栏图标用于切换Java源代码中的断点？,“Toggle Breakpoint”图标。,Chinese
在Linux中，除了telnet，还有哪些命令可以用于检查端口占用情况？,`netstat -tuln`、`ss -tuln`或`lsof -i :port`,Chinese
在 SVN 中，如何使用锁定机制防止多人同时修改同一文件？,可以使用 `svn lock <file>`,Chinese
Какой метод библиотеки klinecharts используется для обновления последней свечи на графике?,updateData(),Russian
在 SVN 提交前如何检查是否存在冲突？,使用 `svn status -u`,Chinese
在Java中，在调试中设置断点的目的是什么？,在特定代码行暂停程序的执行，以检查变量的当前状态和值。,Chinese
在 PyQt4 中，如何从布局中删除一个 QSpacerItem？,使用 `removeItem()` 方法。,Chinese
"In audio streaming applications utilizing the Oto package in Go, what method is used to begin audio playback on a player?",The Play() method.,English
在接口定义文件中，使用什么Android XML属性来设置按钮的唯一标识符？,Android:id,Chinese
Kotlin中使用什么JavaFX类来显示弹出警报？,javafx.scene.control.Alert,Chinese
在Python中，您会使用哪个函数将字符串安全地转换为整数，确保在转换失败时使用默认值？,int()。,Chinese
"Какую функцию вы используете в DAX, чтобы убедиться, что все фильтры, кроме определенного столбца, остаются на месте при вычислении метрики?",ALLEXCEPT,Russian
在JavaFX中，哪个类用于布局UI组件，使其居中？,StackPan。,Chinese
在Kotlin Android开发中，当创建活动时，哪个方法被重写以初始化组件并设置内容视图？,onCreate（）。,Chinese
"In Lua, which function is used to register a server-side event listener that responds to client events in FiveM?",RegisterServerEvent().,English
"When using AutoHotkey, which function retrieves the text from a specific column of a ListView item?",LV_GetText().,English
"Какой атрибут вы используете в CMake, чтобы отметить исходный файл как созданный для построения системы?",SYSTEM,Russian
使用哪种Java Stream方法将流的元素转换为List？,collect(Collectors.toList()),Chinese
在Python的Matplotlib库中，通常使用哪个函数来显示2D图像？,imshow（）,Chinese
当使用Java流计算BigDecimal值的平均值时，在缩减操作中使用哪种方法对这些值求和？,reduce（BigDecimal::add）。,Chinese
在Python列表中查找一个值的所有出现的时间复杂度是多少？,O（n）,Chinese
"При внесении изменений в такие игры, как RimWorld, какой элемент XML определяет ресурсы, необходимые для создания новых предметов в игре?",<recipes> Элемент <ingredients>.,Russian
"При определении свойств снаряда в XML - файле RimWorld mod какой элемент указывает тип повреждения, который должен быть применен при ударе?",damageDef,Russian
在实现2D Perlin噪声时，函数“dotGridGradient”的目的是什么？,计算每个网格角的距离和梯度矢量的点积。,Chinese
Какой XML - узел представляет собой основное определение нового проекта или объекта в программном игровом моделировании RimWorld?,<ThingDef>,Russian
"What library in Python is used to perform image augmentations, such as horizontal flips and random brightness contrast, in deep learning?",Album.,English
ElementUI的el-table列中使用了什么语法来定义“prop”属性中的层次关系？,点符号用于定义层次关系。,Chinese
"Какой параметр следует отменить в настройках протокола TCP / IP, чтобы предотвратить автоматический выбор DNS - сервера?",Автоматически получить адрес DNSServer.,Russian
在Spring Boot中， Spring JDBC提供的哪种API可以用于执行JSON字符串的原始SQL查询？,JdbcTemplate。,Chinese
Spring Boot中的Spring Data JPA用于什么？,它提供了一种使用JPA存储和查询实体的简化方法。,Chinese
在软件开发中，本地化（L10N）的主要目标是什么？,通过翻译文本和调整区域设置，使软件适应特定地区或语言。,Chinese
在提供的使用libwebsockets的C示例中，LWS_SERVER_OPTION_LIBUV选项指定了什么？,它指定为libwebsockets上下文启用libuv集成。,Chinese
在非线性数据拟合的最小二乘模型中，RMSE度量代表什么？,RMSE（均方根误差）表示残差或预测误差的标准偏差。,Chinese
"Какой метод вы используете в Java для извлечения красного компонента из пикселей, полученных методом getRGB с помощью BufferedImage?",Используйте (rgb >> 16) & 0xFF,Russian
在C#中，您将使用什么命令为Word操作添加对Microsoft Office Interop库的引用？,nuget install Microsoft.Office.Interop.Word,Chinese
C++中的哪个标准库函数可用于获取迭代器指向的对象的指针？,std::addressof,Chinese
在C++中从迭代器获取指针时必须确保什么？,迭代器必须有效，并且它指向的对象必须存在于内存中。,Chinese
Какой метод используется в Django для регистрации модели на сайте управления?,admin.site.register ().,Russian
Spring Boot使用什么配置文件格式来指定数据源设置和日志记录级别等属性？,application.yml或application.properties。,Chinese
在Spring多模块项目中，您使用什么属性来包含应用程序.yml中另一个yml文件的配置？,spring.config.import。,Chinese
Какой тег шаблона Django может быть использован для включения другого шаблона и передачи ему переменных?,include tag.,Russian
哪个Docker API端点允许将文件或文件夹从容器复制到主机？,GET /containers/{id}/archive？path=<文件路径>,Chinese
HTML<img>标签中的'alt'属性的目的是什么？,如果图像无法显示，则为其提供替代文本。,Chinese
什么Docker Swarm API端点用来检索所有运行服务的列表？,GET /services,Chinese
"In Java, what is the default maximum age of a cookie if not set explicitly with setMaxAge()?",-1,English
Как в Excel VBA удалить повторяющиеся элементы из диапазона на основе значений в первом столбце?,Range.RemoveDuplicates Columns:=1 ,Russian
在动作捕捉定位技术中，卡尔曼滤波器用于处理哪些类型的传感器数据？,加速度计、陀螺仪和磁力计。,Chinese
在3D重建算法中，基于卷积神经网络的方法主要被用于估计什么？,空间中物体的三维位置和姿态。,Chinese
"В PHP, какая конструкция используется для отправки HTML-контента пользователю?",echo.,Russian
在Spring多模块项目中，如何在模块之间共享通用配置设置？,通过使用共享配置文件或父POM文件。,Chinese
为React和TypeScript项目安装AntV G6库的npm命令是什么？,npm install @antv/g6,Chinese
"In Perl, what regex substitution syntax would you use to escape every dollar sign ($) character in a string?",s/\$/\\\$/g.,English
反向运动学算法在动作捕捉中主要用于什么目的？,用于将捕捉到的三维姿态数据映射到虚拟角色或物体的骨骼结构上。,Chinese
在JavaScript中，如果Vue组件中没有定义名为“intro_0_1”的ref，那么“console.log（this.$refs.intro_0_ 1）”将输出什么？,undefined,Chinese
What method is used to dismiss an AlertDialog in Android development using C#?,dialog.Dismiss().,English
在GLSL中，“uniform”关键字的作用是什么？,用于声明一个只读的全局变量。,Chinese
什么版本将Composition API引入Vue.js，使开发人员能够根据逻辑问题而不是组件生命周期来组织代码？,Vue 3.0,Chinese
在React with TypeScript中，如何为函数式组件中的特定HTML元素声明引用？,您可以使用useRef钩子指定元素类型。,Chinese
"В PHP, какая функция используется для замены подстрок в строке?",str_replace(),Russian
在FPGA中，可以通过哪个接口控制AD9957信号发生器？,通过SPI（串行外围接口）接口。,Chinese
"In Python, what function can you use to select a random integer within a specified range?",random.randint().,English
在Maven多模块项目中，子模块如何从父模块继承配置？,使用pom.xml中的<parent>标签,Chinese
在使用AntV G6 TreeGraph的TypeScript React组件中，调用了什么方法来启动数据图的渲染？,render(),Chinese
在Linux中，哪个命令显示支持的SSH加密算法？,ssh -Q命令,Chinese
在Verilog中，“初始”块的目的是什么？,“初始”块用于在模拟时间开始时执行一次语句。,Chinese
在Vue.js应用程序中，在组件初始化时，通常采用哪个生命周期钩子来建立WebSocket连接？,created,Chinese
在Vue.js组件中，通常使用什么JavaScript方法来生成随机的10个字符的字母数字字符串？,Math.random（）与String.charAt（）在预定义字符集上的循环中结合。,Chinese
使用哪个Nginx命令在不中断服务的情况下重新加载配置？,nginx-s重新加载。,Chinese
在JavaScript中，哪个库通常用于在网络上生成二维码？,QRCode.js。,Chinese
在Nginx中，使用什么指令来指定代理WebSocket请求时使用的HTTP版本？,proxy_http_version。,Chinese
"After applying changes to a Git branch, what command is used to stage all modified files for commit?",git add .,English
"In Lua, what is the function used to iterate over all the keys and their associated values in a table?",pairs().,English
在苹果的《人机界面指南》中，为确保可用性，触摸目标的建议尺寸是多少？,44乘44,Chinese
在软件开发的背景下，用于描述为测试目的生成大量随机数据的做法的术语是什么？,数据模拟或数据生成。,Chinese
需要什么Nginx指令来确保WebSocket通信的连接升级？,proxy_set_header Connection $connection_upgrade;,Chinese
在Python的asyncio库中，什么函数可以用来无限期地启动事件循环？,run_forever（）。,Chinese
在Linux系统上，您可以在哪里指定首选算法来控制它们在SSH中的使用？,在SSH配置文件中,Chinese
"In Git, what command is used to create a new annotated tag?",git tag -a <tagname> -m <message>.,English
在Swift中，用于编译和检查语法错误的工具是什么？,Swift 编译器（swiftc）,Chinese
在软件测试中，使用边界输入值测试软件以检查边缘情况下的缺陷的技术是什么？,边界值分析。,Chinese
"В случае использования fdisk для управления дисками в Linux, какие команды используются для сохранения изменений и выхода из утилиты fdisk?",w,Russian
什么bash实用程序可以用来在不显式使用换行符的情况下将多行文本写入文件？,Here文档（Heredoc）。,Chinese
在FFmpeg的上下文中，调用av_read_frame时，AVERROR（EAGAIN）表示什么？,它表示由于输出暂时不可用，应重试该操作。,Chinese
在PyQt5中，使用哪种方法应用样式表来自定义QTreeView等小部件的外观？,setStyleSheet。,Chinese
"In FiveM when using Lua scripting, which function is used to define a custom event triggered on the server side?",RegisterServerEvent.,English
在shell脚本中，通常使用什么来表示换行符？,\n,Chinese
Какая команда fdisk используется для создания новых разделов при использовании fdisk для разделения дисков в Linux?,"""Н"" Приказ.",Russian
"После того, как вы используете fdisk для разделения диска, какая команда будет использоваться для повторного чтения таблицы разделов, чтобы обновить систему с помощью изменений?",partprobe /dev/sdx,Russian
Как в Kubernetes получить токены из учетной записи службы?,kubectl get secret/my-service-account-secret -o jsonpath='{.data.token}' ,Russian
在Python中，哪个struct模块函数用于将bytes对象转换为浮点数？,struct.unpack（）。,Chinese
在用于查找两条Hermite曲线交点的C++代码中，HermiteCurve结构主要用于什么？,用于存储定义每条Hermite曲线的点和向量。,Chinese
对从Python的时间模块获得的时间值调用什么方法将其转换为“年月日”格式的格式化字符串？,time.strftime（）。,Chinese
在Vue.js中，使用什么指令将HTML属性动态绑定到数据属性？,v-bind指令。,Chinese
在Python的sqlite3模块中，如果新表不存在，使用什么SQL命令来创建新表？,CREATE TABLE IF NOT EXISTS,Chinese
决策级数据融合中使用的一种技术是什么，它涉及通过计算加权和来组合来自不同模型的决策？,加权平均。,Chinese
Java关键字是什么，用于定义可以在类中全局访问的方法或变量？,public,Chinese
在PySimpleGUI布局定义中，哪个元素用于创建可点击按钮？,sg.Button(),Chinese
在Nginx中，如何根据HTTP请求方法有条件地返回特定的状态代码？,使用带有“$request_method”变量的“if”指令。,Chinese
What Go testing function should be used to ensure tests run in isolation and avoid dependencies that can lead to unreliable results?,t.Parallel().,English
"In the Transformer architecture used by models like GPT-3, what mechanism enables the model to generate text sequentially?",The attention mechanism.,English
"When encountering test failures due to updates in a library, what should you review to understand potential breaking changes?",Documentation and release notes.,English
在模型融合中，哪种方法通过在数据子集上训练多个模型并聚合其结果来组合多个模型以增强预测？,Bagging,Chinese
"In language models based on the Transformer architecture, what is not attended to when computing the next token probabilities?",Future tokens.,English
在PySimpleGUI中，使用什么方法显示文件选择对话框以选择文件？,sg.popup_get_file（）。,Chinese
使用Java 8 Streams，如何迭代列表中的每个元素？,使用forEach方法。,Chinese
在PySimpleGUI中，当用户关闭窗口时会生成什么事件？,sg.WIN_CLOSED。,Chinese
Pybind11中的哪个函数允许将PyObject*转换为C++类实例？,py::cast,Chinese
什么库可以用来将C++类暴露给Python，从而允许两种语言之间的互操作性？,Pybind11。,Chinese
What is the default port for Laravel's built-in development server when running php artisan serve?,eight thousand,English
在Selenium with Java中，使用什么方法关闭ChromeDriver启动的浏览器会话？,driver.quit（）。,Chinese
在Selenium WebDriver中，使用哪种方法来检索WebElement的文本内容？,getText（）。,Chinese
在Java中使用Selenium WebDriver时，使用哪个类等待特定条件发生后再继续？,WebDriverWait,Chinese
Какой метод удаления повторяющихся строк из диапазона используется в VBA Microsoft Excel?,RemoveDuplicates,Russian
"In Laravel, what command is used to create a database seeder for a specific model?",php artisan make:seeder ModelNameSeeder,English
"In Roblox, what is the class name of an object commonly used to draw primitives like circles and text on the screen?",Drawing.,English
Which function is used to initialize the Firebase app in Python using a service account key with firebase_admin?,firebase_admin.initialize_app().,English
Какой метод Java используется для соединения двух строк?,concat(),Russian
"Какая функция VBA проверяет, существует ли указанная строка в другой строке, и если она существует, возвращает целое число без нуля?",InStr().,Russian
"In Lua, how can you insert a new element into a table?",Using the table.insert function.,English
В C # какой метод используется для приостановки выполнения потоков в течение указанного периода времени?,Thread.Sleep(),Russian
Какое пространство имен обычно используется для реализации потоков в программировании C #?,using System.Threading;,Russian
在安装SQL Server 2017时，哪个页面允许您配置服务帐户和SQL Server代理？,“Server Configuration”页面。,Chinese
C中用于双链表的结构中的“prev”指针的目的是什么？,“prev”指针用于指向双向链表中的前一个节点,Chinese
"В C #, как прочитать вход с консоли до начала операции?",Используя Console.ReadLine ().,Russian
"In C++, what is the function used to seed the pseudo-random number generator with the current time?",std::srand(static_cast<unsigned int>(std::time(0))).,English
哪个Python库提供创建和可视化图形（如网络拓扑图）的函数？,NetworkX和Matplotlib。,Chinese
在Chrome DevTools中，可以使用什么功能来捕获内存快照并分析对象引用，以检查web应用程序中的内存泄漏？,内存选项卡,Chinese
Какова основная цель использования JLabel в приложениях Java Swing?,Показывать короткие строки или значки изображений.,Russian
Какой метод используется в Java для создания цветовых представлений из значений RGB?,Color().,Russian
"In programming terms, what common data structure can be used to create a grid-based environment for navigation tasks?",A 2D array or matrix.,English
Какая структура данных наилучшим образом подходит для реализации очереди с приоритетами?,Куча (heap).,Russian
В Java какой метод класса BufferedImage используется для извлечения значений RGB пикселей?,"GETRGB (intx, inty).",Russian
"In a SQL `DATEDIFF` function, what do the two arguments represent?",The difference between two date values.,English
"What library in Python is typically used for creating a text-based user interface or handling keyboard input, as seen in the snake game code example?",curses.,English
What event listener in JavaScript is used to execute code in response to keyboard key presses?,keydown.,English
在Singleton设计模式中，使构造函数私有化的主要目的是什么？,防止其他类创建新实例。,Chinese
"In a Tkinter application, which method is used to specify a function to be called when a button is clicked?",config(optional) with the 'command' parameter.,English
"In the `LoadPackageInternal` function, what is the purpose of the `RF_WasLoaded` flag?",It indicates that the package has been successfully loaded.,English
在单例模式中，使用哪种方法来提供访问单个实例的方法？,getInstance(),Chinese
"Какие классы обычно используются в Java для представления изображений, которыми можно манипулировать?",BufferedImage,Russian
什么CSS属性用于修改表行的高度？,height,Chinese
命令提示符中的哪个命令用于启动名为“MyService”的Windows服务？,net start MyService,Chinese
"Какой метод вы можете использовать в Python для декодирования строки, кодированной base64?",b64decode (),Russian
在Python中，尝试打开不存在的文件时抛出的异常是什么？,FilenotFounder错误。,Chinese
出于调试目的，可以使用什么工具来验证PS视频流的时间戳准确性？,Wireshark。,Chinese
What is the purpose of the 'v-slot' directive in the latest Vue.js versions?,To define named slots or scoped slots for a given component.,English
"Какой принцип в коде Хоффмана гарантирует, что ни одно двоичное слово не является префиксом другого кода?",Префиксные атрибуты.,Russian
必须调整哪个属性才能更改Word文档表中列的宽度？,首选宽度,Chinese
"В алгоритме бинарного поиска, если интервал поиска в отсортированном массиве является замкнутым слева или замкнутым справа интервалом, каково условие завершения цикла во время поиска?",while (l <= r),Russian
在HTML中，应该向<table>标记添加什么属性来确保表显示有边框？,border,Chinese
在SQL中，哪个子句允许在查询中使用类似于“if-else”结构的条件逻辑？,CASE子句,Chinese
在Python实现单例模式时，'__new__'方法做什么？,它通过检查实例是否为None，然后创建它来确保单个实例。,Chinese
哪个Python模块通常用于处理和操纵文件路径？,os.path。,Chinese
在SQLite数据库中，用于声明表的自动递增主键的关键字是什么？,AUTOINCREMENT,Chinese
Какой метод JavaScript используется для вычисления квадратного корня чисел?,Math.sqrt(),Russian
在SQLite中，应该使用哪种数据类型在表模式中存储布尔值？,INTEGER,Chinese
对于检查路径是否为目录或获取文件大小等任务，应使用哪个Python标准库模块与操作系统交互？,os。,Chinese
在Python中，turtle模块中的哪个函数用于在屏幕上编写文本？,turtle.write(),Chinese
"In MATLAB, what is the purpose of the './' operator?",It performs element-wise division of arrays.,English
"Используя JavaScript, как бы вы представляли формулу теоремы Пифагора для вычисления скоса для фиксированной стороны a и b?","Math.sqrt (Math.pow (a, 2) + Math.pov (b, 2)).",Russian
在ECharts中，初始化后使用哪种方法调整图表的大小？,resize(),Chinese
在使用WIN32 API的Windows文件处理中，当FindFirstFileA找不到文件或目录时，它会返回什么？,INVALID_HANDLE_VALUE,Chinese
在C#HttpClient中，您将使用哪种方法向指定的URI发送GET请求？,GetAsync（）。,Chinese
在Python PIL库的上下文中，“RGBA”模式代表什么？,RGBA代表红色、绿色、蓝色和阿尔法（透明度）。,Chinese
在C++中使用SQLite时，调用什么函数来执行SQL语句和处理错误？,sqlite3exec。,Chinese
在SAS宏编程中，使用哪个函数以“date9.”格式检索当前日期？,%sysfunc（today（），date9.）。,Chinese
在C++中，哪个函数可以将单个字符转换为大写？,toupper（）。,Chinese
What function in MQL4 is used to initialize custom indicators?,OnInit().,English
在Python中，哪种数据类型用于表示字符序列？,字符串。,Chinese
在Python中，如何用多行文本定义字符串？,使用三重引号（“”或“”）。,Chinese
在echarts饼图配置中，如何指定饼图的中心半径？,通过在系列对象中设置“radius”属性,Chinese
在PHP中，调用类中的静态方法的语法是什么？,类名::staticMethod（）；,Chinese
"Какое предложение SQL в PostgreSQL может быть использовано для обеспечения того, чтобы выбранная строка не содержала значения NULL в конкретном столбце?",IS NOT NULL,Russian
"In the development of a custom indicator in MQL4, what function is responsible for the main calculation and iteration process?",OnCalculate().,English
在Boost。Asio，哪个类用于处理用于调度异步操作的计时器？,boost::asio::deadline_timer。,Chinese
如何在PHP中实例化对象并调用方法？,$object = new ClassName();或 $object->methodName();,Chinese
"Какие заголовочные файлы должны быть включены в C + + для доступа к стандартным объектам потока ввода - вывода, таким как cin и cout?",#include <iostream>,Russian
What type of technology setup is necessary to ensure that a user's virtual movements align with their physical movements in a VR setting?,Cameras and sensors for movement tracking.,English
在Adobe Photoshop中，自动填充图像扩展边框的主要功能是什么？,内容感知填充。,Chinese
使用MATLAB代码计算空间体积时，如果空间的长宽高分别为10m、10m、5m，计算公式是什么?,V=10*10*5；,Chinese
在pandas中，to_csv方法中使用了什么参数来确保索引不会写入输出文件？,index,Chinese
Jupyter Notebook可以保存为什么文件格式以供共享和版本控制？,.ipynb,Chinese
boost库中boost:：asio:：async_connect函数的用途是什么？,它启动到特定端点的异步连接操作。,Chinese
Visual Basic 6.0中用于将字符串转换为双精度浮点数的函数是什么？,CDbl(),Chinese
调用非类方法（类似于函数调用）的PHP语法是什么？,"函数名(参数1, 参数2, ...);",Chinese
当使用pandas按列合并两个DataFrames时，使用哪个函数将它们连接起来？,merge(),Chinese
在Jest中，您将使用哪个函数来模拟函数调用以验证与函数的交互？,jest.fn（）。,Chinese
在VB6中，使用什么函数打开文件以写入输出数据？,Open语句,Chinese
Какая библиотека в C # обычно используется для чтения метаданных из музыкальных файлов?,TagLib.,Russian
在JavaScript中，哪个全局函数可用于创建表示传递给该函数的对象的URL？,URL.createObjectURL。,Chinese
"При использовании библиотеки TagLib в C #, как вычислить продолжительность музыкального файла в секундах?",Получается через свойство Properties.Duration класса TagLib.File,Russian
"In Python 3, what is the method to add an element to a set?",add().,English
在Python中，线程模块中的哪种方法允许主线程等待子线程完成？,join(),Chinese
哪种Webpack加载器通常用于将ES6 JavaScript代码转换为ES5？,babel-loader,Chinese
"Какое ключевое слово в C + + используется для обозначения блоков кода, которые могут вызвать аномалии?",try,Russian
在使用Babel的上下文中，使用什么命令来安装Babel及其相关的Webpack预设和加载器？,npm install --save-dev @babel/core @babel/preset-env babel-loader webpack webpack-cli webpack-dev-server,Chinese
在Uni-app中，如何定义app Plus平台底部导航栏的外观和行为？,通过在pages.json文件中配置tabBar属性。,Chinese
在Excel中，如何自动执行一系列任务或计算，而无需每次手动输入？,通过录制和执行宏。,Chinese
在哪种软件设计模式中，对象是用于创建相关或依赖对象族而不指定其具体类的接口？,抽象工厂模式。,Chinese
Что означает код состояния 404 в HTTP?,Not Found,Russian
在软件架构中使用模型-视图-控制器（MVC）框架的主要目的是什么？,将应用程序逻辑与用户界面分离。,Chinese
Какова цель ключевого слова « public» в определении класса в C + +?,"Он указывает, что члены могут получить доступ из внешнего класса.",Russian
使用“SVN status”检查SVN文件状态时，“M”状态代码表示什么？,本地文件已修改,Chinese
在多线程Python程序中，您会使用什么函数将数据放入线程之间共享的队列中？,queue.put（）。,Chinese
用于检查工作目录中文件状态的SVN命令是什么？,svn status,Chinese
Какие символы обычно используются в строке даты ISO 8601 для разделения даты и времени?,"""Т"" Слово.",Russian
在Python 2.7中，你会使用哪个模块来执行像“svn status”这样的系统命令？,subprocess,Chinese
在web开发中，当元素的内容溢出时，使用什么CSS属性在元素内创建滚动效果？,overflow,Chinese
如何使用PROC SURVEYSELCT确保SAS中随机抽样的可重复性？,通过使用具有特定整数值的“seed”参数。,Chinese
shell脚本中的哪个命令用于在不重新启动终端的情况下立即应用对/etc/profile文件所做的更改？,source /etc/profile,Chinese
"В JavaScript, какой способ разделить строки на подмножества в соответствии с указанным разделителем?",Split () Метод.,Russian
使用什么SAS程序从数据集中进行随机抽样？,PROC SURVEYSELECT,Chinese
在网页中，必须设置什么才能允许带有overflow-y：scroll的div在超出其边界时实际滚动其内容？,div的高度。,Chinese
C#中使用什么方法将目录名和文件名组合成一个路径字符串？,System.IO.Path.Combine(),Chinese
What method is responsible for managing preloaded images for graphical elements in a GUI environment?,preloadImages().,English
在C#中，使用什么运算符来连接字符串？,“+”运算符。,Chinese
在C#中，如何检索指定文件路径的目录名？,Path.GetDirectoryName,Chinese
在C#中，使用哪种方法从文件路径中获取不带扩展名的文件名？,System.IO.Path.GetFileNameWithoutExtension(),Chinese
在shell命令中，修改/etc/profile等配置文件时，“>>”表示什么？,“>>”将输出附加到指定文件。,Chinese
在64位Linux系统中，执行execve系统调用时，操作系统内核执行的第一步是什么？,内核检查指定的文件是否存在并且是否可执行。,Chinese
Sniffles软件在长读测序数据分析中执行什么功能？,结构变异检测。,Chinese
MATLAB中的哪个函数用于从Excel文件读取数据？,readtable或xlsread。,Chinese
在shell脚本中，什么命令将新目录附加到/etc/profile中的PATH变量？,echo 'export PATH=$PATH:/your/new/PATH' >/etc/profile,Chinese
在Java中使用BeanTilsBean时，如果属性描述符不存在，处理异常的常见方法是什么？,使用带有NoSuchMethodException的try-catch块。,Chinese
Какова максимальная тактовая частота Arduino Nano с микроконтроллером ATmega328P?,16 MHz.,Russian
如何在C#中将“_100”附加到名为fileName的字符串变量？,fileName+='_100',Chinese
在C#中，可以使用什么方法在变量中存储的另一个字符串的末尾添加一个字符串？,string.Concat方法。,Chinese
Miniasm软件用于长读测序数据的基因组组装的主要算法方法是什么？,重叠布局共识（OLC）。,Chinese
当内核在64位Linux系统上执行execve系统调用时，最后一步会发生什么？,内核将控制权转移到程序脚本并开始执行程序。,Chinese
What is the default physics engine used by Unreal Engine 5 when handling vehicle dynamics?,Chaos.,English
What OpenCV function is used to detect objects in an image using a specified classifier in Python?,cv2.CascadeClassifier.detectMultiScale.,English
C中`strcmp`函数的作用是什么？,它比较两个字符串，并返回一个表示比较结果的整数。,Chinese
在C标准库函数“qsort”中，“cmp”函数指针的作用是什么？,它指定了比较函数来确定元素的顺序。,Chinese
在标准的HTML5文档中，使用了什么doctype声明？,<!DOCTYPE html>。,Chinese
在Windows API中，表示对象句柄的正确数据类型是什么？,HANDLE,Chinese
"In Unreal Engine 5, what type of Blueprint node can you use to detect whether the vehicle is on the ground during a jump action?",Raycast.,English
Какой библиотекой в Arduino можно воспользоваться для работы с дисплеем 1602 через интерфейс PCF8574?,LiquidCrystal_I2C,Russian
"In the context of web browser automation using VBA, which library is commonly used to manipulate Internet Explorer?",The 'InternetExplorer.Application' object.,English
"In Excel VBA, which method can be used to navigate to a specific URL in Internet Explorer?",'Navigate'.,English
What method is responsible for managing preloaded images for graphical elements in a GUI environment?,INDEX.,English
"In Microsoft Excel, what function can be used to perform a lookup operation without using VLOOKUP?",INDEX-MATCH.,English
What worksheet method is used in VBA to find the last row with data in a specific column?,"Cells(Rows.Count, ""D"").End(xlUp).Row.",English
"In Unreal Engine 5's Chaos Vehicle simulation, how can you apply a force to simulate a jump on a vehicle?",Use the Apply Impulse node with JumpStrength and the vehicle's mass.,English
"In the LC-3 (Little Computer 3) architecture, what is the primary purpose of the R6 register?",the stack pointer.,English
"В компоненте Vue 3, как использовать $attrs для доступа к атрибуту под названием « foo» из родительского компонента?",Используйте $attrs.foo в подсистеме.,Russian
